SRX6915299,Thymus_4_S32
SRX6915298,Thymus_3_S31
SRX6915297,Thymus_2_S30
SRX6915296,Thymus_1_S29
SRX6915295,Spleen_4_S8
SRX6915294,Spleen_3_S7
SRX6915293,Spleen_2_S6
SRX6915292,Spleen_1_S5
SRX6915291,Skin_4_S56
SRX6915290,Skin_3_S55
SRX6915289,Skin_2_S54
SRX6915288,BM_1_S1
SRX6915287,Skin_1_S53
SRX6915286,SI_4_S52
SRX6915285,SI_3_S51
SRX6915284,SI_2_S50
SRX6915283,SI_1_S49
SRX6915282,PBMC_4_S12
SRX6915281,PBMC_3_S11
SRX6915280,PBMC_2_S10
SRX6915279,PBMC_1_S9
SRX6915278,mesLN_4_S16
SRX6915277,mesLN_3_S15
SRX6915276,mesLN_2_S14
SRX6915275,mesLN_1_S13
SRX6915274,Lung_4_S24
SRX6915273,Lung_3_S23
SRX6915272,Lung_2_S22
SRX6915271,Lung_1_S21
SRX6915270,Liver_4_S44
SRX6915269,Liver_3_S43
SRX6915268,Liver_2_S42
SRX6915267,Liver_1_S41
SRX6915266,Kidney_4_S36
SRX6915265,Kidney_3_S35
SRX6915264,Kidney_2_S34
SRX6915263,Kidney_1_S33
SRX6915262,iLN_4_S40
SRX6915261,iLN_3_S39
SRX6915260,iLN_2_S38
SRX6915259,iLN_1_S37
SRX6915258,Heart_4_S28
SRX6915257,Heart_3_S27
SRX6915256,Heart_2_S26
SRX6915255,Heart_1_S25
SRX6915254,FRT_4_S64
SRX6915253,FRT_3_S63
SRX6915252,FRT_2_S62
SRX6915251,FRT_1_S61
SRX6915250,Colon_4_S20
SRX6915249,Colon_3_S19
SRX6915248,Colon_2_S18
SRX6915247,Colon_1_S17
SRX6915246,Brain_4_S60
SRX6915245,Brain_3_S59
SRX6915244,Brain_2_S58
SRX6915243,Brain_1_S57
SRX6915242,BM_4_S4
SRX6915241,BM_3_S3
SRX6915240,BM_2_S2
